State,Year,Month,Unemployment_Rate,Labor_Force,Employed,Unemployed
Georgia,2022,8,9.6,1775843,1605362,170481
Ohio,2011,11,10.8,2714235,2421097,293138
Illinois,2012,9,10.6,1242953,1111199,131754
Illinois,2017,9,7.7,4606554,4251849,354705
Texas,2017,12,6.0,1825690,1716148,109542
Ohio,2019,2,3.3,503119,486516,16603
Ohio,2022,1,3.1,502732,487147,15585
New York,2019,3,5.8,1310209,1234216,75993
Pennsylvania,2020,1,10.8,2466610,2200216,266394
Pennsylvania,2021,1,4.0,1147343,1101449,45894
Illinois,2022,11,4.8,1830228,1742377,87851
Washington,2013,11,9.7,1826470,1649302,177168
Ohio,2020,10,6.9,809662,753795,55867
Michigan,2019,10,10.3,570452,511695,58757
Michigan,2011,4,7.8,3434732,3166822,267910
Michigan,2011,11,11.8,4198064,3702692,495372
Pennsylvania,2011,12,2.6,1474572,1436233,38339
New York,2015,3,9.7,1177833,1063583,114250
Illinois,2011,12,8.5,1764221,1614262,149959
Ohio,2022,6,11.4,1756671,1556410,200261
Florida,2011,4,5.4,4999856,4729863,269993
Georgia,2010,10,7.0,2142999,1992989,150010
Texas,2011,12,9.6,2873939,2598040,275899
Michigan,2022,11,10.3,3277326,2939761,337565
New York,2020,10,2.5,3257473,3176036,81437
Texas,2022,4,6.5,1024044,957481,66563
Illinois,2016,7,10.3,385555,345842,39713
Texas,2023,4,8.7,3822946,3490349,332597
California,2023,12,2.8,3541628,3442462,99166
Ohio,2014,11,11.7,1510706,1333953,176753
Illinois,2014,3,5.5,1947865,1840732,107133
Georgia,2011,3,2.8,444855,432399,12456
Texas,2021,11,11.7,2574968,2273696,301272
California,2022,5,4.0,2542266,2440575,101691
Texas,2013,7,8.4,1755743,1608260,147483
Ohio,2017,12,11.7,4625208,4084058,541150
Michigan,2010,12,4.9,4097615,3896831,200784
Illinois,2021,6,8.0,1904673,1752299,152374
Pennsylvania,2017,11,11.9,878513,773969,104544
Texas,2023,6,5.3,3310016,3134585,175431
Georgia,2018,8,9.4,4887890,4428428,459462
Pennsylvania,2018,1,3.5,2642637,2550144,92493
Georgia,2015,12,9.2,4630889,4204847,426042
Pennsylvania,2011,12,3.2,4562816,4416805,146011
California,2018,1,10.3,1729849,1551674,178175
Georgia,2016,2,11.8,150861,133059,17802
Washington,2011,2,2.9,2091083,2030441,60642
California,2017,11,3.7,1543717,1486599,57118
Illinois,2015,9,3.0,1305663,1266493,39170
Illinois,2011,12,10.8,1408507,1256388,152119
Florida,2023,11,7.1,2951274,2741733,209541
Florida,2013,6,10.3,1968670,1765896,202774
New York,2018,12,9.5,1032817,934699,98118
Georgia,2021,7,8.7,3378360,3084442,293918
New York,2019,3,11.8,4215811,3718345,497466
Pennsylvania,2022,7,6.6,3076031,2873012,203019
New York,2021,2,2.7,4048242,3938939,109303
Georgia,2014,8,11.8,1490281,1314427,175854
New York,2012,6,2.8,2714150,2638153,75997
California,2023,5,9.4,2329180,2110237,218943
Pennsylvania,2013,5,5.8,726045,683934,42111
Florida,2021,8,7.7,1491538,1376689,114849
Illinois,2013,10,9.4,1563807,1416809,146998
Florida,2011,2,10.0,3160006,2844005,316001
Washington,2012,3,5.2,4543778,4307501,236277
Texas,2017,5,9.5,3142146,2843642,298504
Washington,2017,4,11.1,3071981,2730991,340990
Texas,2016,5,10.6,488076,436339,51737
Illinois,2023,6,10.8,4916909,4385882,531027
Pennsylvania,2016,9,8.8,2060826,1879473,181353
Illinois,2018,12,5.0,2190212,2080701,109511
Ohio,2010,8,8.2,853315,783343,69972
Michigan,2020,10,3.2,3584239,3469543,114696
Washington,2022,10,8.9,1023780,932663,91117
Florida,2017,11,11.5,2568152,2272814,295338
Georgia,2013,12,2.8,417348,405662,11686
Ohio,2021,5,9.9,1420567,1279930,140637
Pennsylvania,2021,6,4.5,2640476,2521654,118822
Florida,2011,2,3.7,2943940,2835014,108926
Florida,2019,1,3.7,4511589,4344660,166929
Ohio,2014,11,5.5,3047762,2880135,167627
Washington,2013,5,7.1,1907610,1772169,135441
Texas,2018,2,11.7,246470,217633,28837
Pennsylvania,2020,2,5.8,4373445,4119785,253660
Florida,2016,4,9.2,3027337,2748821,278516
Michigan,2017,2,4.3,1649302,1578382,70920
Pennsylvania,2022,6,10.7,1064918,950971,113947
Michigan,2019,11,9.0,4742929,4316065,426864
Texas,2010,10,10.8,1376647,1227969,148678
California,2021,11,11.3,416205,369173,47032
Florida,2010,1,4.5,3030639,2894260,136379
Ohio,2014,9,3.5,4757089,4590590,166499
Texas,2015,9,10.7,2138540,1909716,228824
Illinois,2014,9,3.5,619777,598084,21693
Georgia,2023,4,8.8,4330625,3949530,381095
Texas,2022,9,5.5,2987296,2822994,164302
Pennsylvania,2023,6,8.7,1200500,1096056,104444
California,2021,10,6.3,764468,716306,48162
New York,2021,9,8.2,3385727,3108097,277630
California,2012,12,2.6,4928426,4800286,128140
New York,2017,10,9.7,2012584,1817363,195221
New York,2014,10,11.5,2961509,2620935,340574
Ohio,2022,10,3.5,2480932,2394099,86833
Texas,2014,12,7.0,2617334,2434120,183214
Georgia,2023,2,9.3,2910860,2640150,270710
Ohio,2016,11,2.6,4353486,4240295,113191
Ohio,2021,9,8.7,3717556,3394128,323428
Georgia,2012,2,4.1,805475,772450,33025
Ohio,2013,11,11.3,4438843,3937253,501590
New York,2017,10,8.3,4994640,4580084,414556
Florida,2019,9,7.5,854950,790828,64122
Washington,2016,7,5.3,1983376,1878257,105119
Washington,2022,10,11.2,3103475,2755885,347590
Florida,2015,7,10.2,2087755,1874803,212952
Pennsylvania,2022,10,3.6,2809644,2708496,101148
Michigan,2015,6,7.4,3429049,3175299,253750
Illinois,2019,8,6.4,175388,164163,11225
Washington,2017,8,5.9,2429753,2286397,143356
Ohio,2013,2,9.5,4121080,3729577,391503
Texas,2012,4,3.9,601174,577728,23446
Texas,2014,1,9.5,1112384,1006707,105677
Michigan,2014,1,4.2,4858982,4654904,204078
Washington,2018,9,7.2,4836319,4488104,348215
New York,2016,5,8.9,2098197,1911457,186740
Michigan,2018,1,2.7,1593293,1550274,43019
New York,2013,10,5.7,3205958,3023218,182740
Florida,2017,5,11.0,2080290,1851458,228832
Illinois,2017,1,4.7,4671843,4452266,219577
California,2021,2,8.9,4177716,3805899,371817
Pennsylvania,2015,8,8.7,1648075,1504692,143383
Washington,2012,6,8.9,880641,802263,78378
Michigan,2023,4,3.1,3865689,3745852,119837
Florida,2014,9,4.1,4280413,4104916,175497
Illinois,2016,12,5.8,3747371,3530023,217348
Pennsylvania,2013,3,11.3,1247116,1106191,140925
Michigan,2021,3,3.9,1371300,1317819,53481
Florida,2017,8,7.6,1115416,1030644,84772
Ohio,2013,6,4.9,3504231,3332523,171708
Michigan,2010,5,10.3,3441861,3087349,354512
Florida,2011,4,5.4,3370209,3188217,181992
Illinois,2014,2,11.4,4686440,4152185,534255
California,2020,3,6.3,4312377,4040697,271680
Florida,2011,7,4.0,4909109,4712744,196365
Georgia,2021,5,6.2,3998606,3750692,247914
California,2019,6,10.3,2143037,1922304,220733
Pennsylvania,2019,6,3.8,4588198,4413846,174352
Florida,2023,9,5.6,4215362,3979301,236061
Texas,2023,4,7.9,4781993,4404215,377778
Illinois,2011,9,7.1,3888963,3612846,276117
California,2023,6,10.4,4932691,4419691,513000
New York,2012,9,10.3,1350956,1211807,139149
Ohio,2011,8,7.0,1165923,1084308,81615
Illinois,2013,12,9.9,4142879,3732733,410146
Florida,2011,12,10.6,1528127,1366145,161982
Texas,2021,7,3.9,3547794,3409430,138364
Ohio,2012,2,6.9,1073181,999131,74050
Texas,2022,8,5.3,2890358,2737169,153189
New York,2018,3,3.2,2422621,2345097,77524
New York,2016,12,8.4,1719715,1575258,144457
Michigan,2017,1,4.7,527387,502599,24788
Florida,2022,4,8.7,1644613,1501531,143082
Michigan,2011,5,10.9,2530525,2254697,275828
New York,2016,11,6.4,4849766,4539380,310386
Ohio,2022,6,11.7,2390870,2111138,279732
Texas,2023,11,6.5,304366,284582,19784
Ohio,2019,7,3.8,760902,731987,28915
Ohio,2010,5,10.4,1785996,1600252,185744
Ohio,2014,2,3.1,1452144,1407127,45017
New York,2010,12,8.6,2707411,2474573,232838
Michigan,2014,10,3.7,2063571,1987218,76353
Texas,2017,3,6.1,917052,861111,55941
Georgia,2019,5,11.6,1528080,1350822,177258
Illinois,2010,8,5.5,2826016,2670585,155431
Texas,2021,1,10.5,4847263,4338300,508963
Pennsylvania,2014,12,8.6,2618970,2393738,225232
Georgia,2017,1,8.3,1155675,1059753,95922
Michigan,2017,3,3.5,2261088,2181949,79139
Michigan,2014,8,2.9,3568792,3465297,103495
Michigan,2020,1,3.2,4155447,4022472,132975
New York,2017,1,11.6,3864455,3416178,448277
Washington,2023,4,5.8,4004722,3772448,232274
Michigan,2012,12,5.9,192601,181237,11364
Ohio,2014,6,9.8,2113321,1906215,207106
Georgia,2021,1,5.3,4739681,4488477,251204
Texas,2012,1,4.9,4170211,3965870,204341
Illinois,2018,9,7.5,4118365,3809487,308878
Texas,2019,5,3.7,3000737,2889709,111028
Georgia,2022,5,11.2,1081883,960712,121171
Texas,2020,10,5.7,1600071,1508866,91205
Texas,2016,9,6.0,1973722,1855298,118424
Washington,2018,2,11.5,2068541,1830658,237883
Florida,2014,12,4.4,985421,942062,43359
California,2017,5,5.2,2317181,2196687,120494
Michigan,2016,1,5.0,4600398,4370378,230020
Texas,2014,5,11.8,722893,637591,85302
Pennsylvania,2023,7,4.2,4926847,4719919,206928
Georgia,2015,11,5.1,2220539,2107291,113248
Texas,2011,5,9.4,1328337,1203473,124864
New York,2016,8,5.8,1699908,1601313,98595
California,2017,3,5.3,2543282,2408488,134794
Michigan,2022,7,8.0,895928,824253,71675
Ohio,2017,10,7.8,2613024,2409208,203816
Ohio,2012,1,5.1,2653314,2517994,135320
Washington,2011,11,5.5,789556,746130,43426
Michigan,2020,11,9.0,1216271,1106806,109465
Illinois,2013,4,2.5,616409,600998,15411
Georgia,2021,1,2.6,4576321,4457336,118985
Ohio,2018,4,5.6,2035090,1921124,113966
Michigan,2015,8,7.3,4919075,4559982,359093
Florida,2013,10,10.9,4842297,4314486,527811
Ohio,2015,5,2.5,2841094,2770066,71028
Ohio,2019,6,4.1,4201036,4028793,172243
Florida,2010,7,10.8,1577852,1407443,170409
New York,2017,5,8.0,4127446,3797250,330196
Florida,2013,8,8.2,3049281,2799239,250042
Texas,2012,12,10.3,996816,894143,102673
New York,2015,8,5.7,2890373,2725621,164752
Ohio,2013,3,6.7,4258179,3972881,285298
Michigan,2010,7,4.7,1509854,1438890,70964
Florida,2010,11,10.1,4238286,3810219,428067
Illinois,2021,6,8.6,3684197,3367356,316841
Florida,2013,11,9.0,3931342,3577521,353821
Michigan,2018,10,8.1,3890328,3575211,315117
Florida,2022,10,5.7,3562092,3359052,203040
California,2023,6,5.1,2250224,2135462,114762
New York,2014,3,5.0,4102713,3897577,205136
New York,2014,5,7.1,2449316,2275414,173902
Florida,2015,10,3.3,1677969,1622596,55373
New York,2010,8,9.4,2847176,2579541,267635
Georgia,2023,12,3.7,1811672,1744640,67032
Florida,2017,9,11.6,2671165,2361309,309856
Pennsylvania,2021,10,5.2,1514022,1435292,78730
New York,2016,12,10.0,1067561,960804,106757
Georgia,2019,9,9.9,4021451,3623327,398124
Illinois,2022,4,2.8,758003,736778,21225
Texas,2019,11,3.8,3262801,3138814,123987
California,2020,7,3.3,2059310,1991352,67958
Texas,2017,11,11.7,3835444,3386697,448747
Washington,2019,12,10.0,1612760,1451484,161276
Ohio,2019,5,4.9,2446582,2326699,119883
Washington,2014,8,5.7,550930,519526,31404
Illinois,2014,12,5.8,3598408,3389700,208708
California,2011,5,4.6,4251785,4056202,195583
Illinois,2016,6,7.8,306487,282581,23906
Texas,2021,10,7.7,3039302,2805275,234027
Georgia,2010,1,8.3,1479904,1357071,122833
Washington,2014,5,11.5,1671951,1479676,192275
Illinois,2011,10,6.9,2603292,2423664,179628
Michigan,2015,12,3.1,3466823,3359351,107472
Georgia,2021,11,6.9,4485010,4175544,309466
California,2016,5,4.1,688158,659943,28215
Florida,2023,4,7.4,3866484,3580364,286120
Georgia,2013,12,4.9,389768,370669,19099
Pennsylvania,2019,12,9.8,3327544,3001444,326100
Pennsylvania,2023,3,11.1,543945,483567,60378
Florida,2012,6,6.0,2354614,2213337,141277
Illinois,2020,2,3.4,1374634,1327896,46738
Pennsylvania,2021,10,3.4,4614276,4457390,156886
Ohio,2017,7,8.6,2369070,2165329,203741
Pennsylvania,2011,10,6.8,1356715,1264458,92257
Texas,2016,3,5.9,3114938,2931156,183782
Texas,2020,8,7.3,2060155,1909763,150392
California,2016,8,11.0,379215,337501,41714
Ohio,2013,6,11.7,2060584,1819495,241089
Michigan,2010,7,3.7,2574653,2479390,95263
Texas,2013,12,10.9,632726,563758,68968
Ohio,2018,3,7.5,2692536,2490595,201941
Florida,2011,10,3.3,4514084,4365119,148965
New York,2022,12,10.7,3124243,2789948,334295
Georgia,2011,6,9.2,2096170,1903322,192848
Texas,2021,12,5.5,1885559,1781853,103706
Texas,2015,3,10.9,290237,258601,31636
Washington,2014,12,10.3,4515677,4050562,465115
California,2014,3,3.8,1324744,1274403,50341
New York,2011,10,8.3,4729375,4336836,392539
Georgia,2010,5,10.2,2631086,2362715,268371
New York,2010,4,9.5,3857985,3491476,366509
Texas,2012,8,2.5,223950,218351,5599
Michigan,2015,9,8.7,4840039,4418955,421084
Michigan,2016,3,9.1,4120120,3745189,374931
Georgia,2014,3,9.7,543316,490614,52702
Florida,2023,4,10.8,1988806,1774014,214792
Illinois,2012,12,8.8,2338673,2132869,205804
New York,2010,6,8.9,4877402,4443313,434089
Texas,2017,6,4.7,3332244,3175628,156616
Pennsylvania,2023,3,6.4,2481306,2322502,158804
Florida,2010,9,6.5,563001,526405,36596
Georgia,2016,6,10.7,615693,549813,65880
New York,2012,10,9.1,1940083,1763535,176548
